Name;BuildingLevel;TID;InfoTID;BuildingClass;SecondaryTargetingClass;ShopBuildingClass;SWF;ExportName;ExportNameNpc;ExportNameConstruction;ExportNameLocked;BuildTimeD;BuildTimeH;BuildTimeM;BuildTimeS;BuildResource;BuildCost;TownHallLevel;CapitalHallLevel;Width;Height;Icon;ExportNameBuildAnim;ExportNameUpgradeAnim;MaxStoredGold;MaxStoredElixir;MaxStoredDarkElixir;MaxStoredWarGold;MaxStoredWarElixir;MaxStoredWarDarkElixir;MaxStoredGold2;MaxStoredElixir2;PercentageStoredGold;PercentageStoredElixir;PercentageStoredDarkElixir;LootOnDestruction;Bunker;Village2Housing;HousingSpace;HousingSpaceAlt;HousingSpaceSiege;ProducesResource;ResourcePer100Hours;ResourceMax;ResourceIconLimit;UnitProduction;UpgradesUnitType;ProducesUnitsOfType;LevelRequirementTID;BoostCost;FreeBoost;Hitpoints;RegenTime;AttackRange;AltAttackMode;AltAttackRange;PrepareSpeed;AttackSpeed;AltAttackSpeed;CoolDownOverride;DPS;AltDPS;Damage;PreferredTarget;PreferredTargetDamageMod;RandomHitPosition;DestroyEffect;DestroyDamageEffect;AttackEffect;AttackEffect2;ChainAttackDistance;ChainAttackMaxTargets;ChainAttackDelay;ChainAttackDamageReductionPercent;AttackEffectAlt;HitEffect;Projectile;AltProjectile;ExportNameDamagedSWF;ExportNameDamaged;BuildingW;BuildingH;BaseGfx;ExportNameBase;AirTargets;GroundTargets;MultiTargets;NumMultiTargets;AltAirTargets;AltGroundTargets;AltMultiTargets;AmmoCount;AmmoResource;AmmoCost;MinAttackRange;DamageRadius;PushBack;WallCornerPieces;LoadAmmoEffect;NoAmmoEffect;ToggleAttackModeEffect;PickUpEffect;PlacingEffect;AnimateTurret;DefenderCharacter;DefenderCount;DefenderZ;AltDefenderZ;DestructionXP;Locked;StartingHomeCount;Hidden;AOESpell;AOESpellAlternate;TriggerRadius;ExportNameTriggered;AppearEffect;ForgesSpells;ForgesMiniSpells;IsHeroBarrack;HeroType;IncreasingDamage;DPSLv2;DPSLv3;DPSMulti;Lv2SwitchTime;Lv3SwitchTime;AttackEffectLv2;AttackEffectLv3;TransitionEffectLv2;TransitionEffectLv3;AltNumMultiTargets;PreventsHealing;StrengthWeight;AlternatePickNewTargetDelay;AltBuildResource;SpeedMod;StatusEffectTime;ShockwavePushStrength;ShockwaveArcLength;ShockwaveExpandRadius;TargetingConeAngle;AimRotateStep;PenetratingProjectile;PenetratingRadius;PenetratingExtraRange;TurnSpeed;NeedsAim;TargetGroups;TargetGroupsRadius;HitSpell;HitSpellLevel;ExportNameBeamStart;ExportNameBeamEnd;Damage2;Damage2Radius;Damage2Delay;Damage2Min;Damage2FalloffStart;Damage2FalloffEnd;HitEffect2;WakeUpSpeed;WakeUpSpace;PreAttackEffect;ShareHeroCombatData;BurstCount;BurstDelay;AltBurstCount;AltBurstDelay;DummyProjectileCount;DieDamage;DieDamageRadius;DieDamageEffect;DieDamageDelay;IsRed;VillageType;WallBlockX;WallBlockY;RedMul;GreenMul;BlueMul;RedAdd;GreenAdd;BlueAdd;DefenceTroopCount;DefenceTroopCharacter;DefenceTroopCharacter2;DefenceTroopLevel;AmountCanBeUpgraded;SelfAsAoeCenter;NewTargetAttackDelay;GearUpBuilding;GearUpLevelRequirement;GearUpResource;GearUpCost;GearUpTime;GearUpTID;StartUpgradeBoosterCost;ActivateCombatOnDamageTaken;ActivatedCombatAddBuildingClass;CombatActivationDelay;CombatActivationEffect;Weapon;HintPriority;UpgradeTasks;UpgradeTasksRequired;AnimationActionFrame;SpellOnNearbyDamage;DamagePermilHp;ProjectileVariantByTargetMaxHP;DefaultProjectileVariant;PreviewScenario;CustomTargetHitBuildingInRange;UnlockWeaponMode
String;int;String;String;String;String;String;String;String;String;String;String;int;int;int;int;String;int;int;int;int;int;String;String;String;int;int;int;int;int;int;int;int;int;int;int;boolean;boolean;int;int;int;int;String;int;int;int;int;String;int;String;int;boolean;int;int;int;boolean;int;int;int;int;int;int;int;int;String;int;boolean;String;String;String;String;int;int;int;int;String;String;String;String;String;String;int;int;int;String;boolean;boolean;boolean;int;boolean;boolean;boolean;int;String;int;int;int;int;String;String;String;String;String;String;boolean;String;int;int;int;int;Boolean;int;Boolean;String;String;int;String;String;boolean;boolean;boolean;String;Boolean;int;int;int;int;int;String;String;String;String;int;boolean;int;int;String;int;int;int;int;int;int;int;boolean;int;int;int;boolean;boolean;int;String;int;String;String;int;int;int;int;int;int;String;int;int;String;boolean;int;int;int;int;int;int;int;String;int;boolean;int;String;String;int;int;int;int;int;int;int;String;String;int;int;boolean;int;String;int;String;int;int;String;int;int;String;int;String;String;int;String;int;int;String;int;String;int;String;boolean;String
Troop Housing;1;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;;;sc/buildings.sc;fireplace_lvl1;;fireplace_const;;0;0;5;0;Elixir;200;1;1;4;4;;fireplace_upg;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;250;15;;;;;;;;;;;;;;Building Destroyed;;;;;;;;;;;;;gen_destructed_state4;2;2;;fireplace_lvl1_base;;;;;;;;;;;;;;;;;;Troop Housing Pickup;Troop Housing Placing;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;
Troop Housing;2;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl2;0;fireplace_const;0;0;0;15;0;Elixir;2000;2;2;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;30;0;0;0;0;0;0;0;0;0;0;0;;270;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl2_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;3;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl3;0;fireplace_const;0;0;2;0;0;Elixir;10000;3;3;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;35;0;0;0;0;0;0;0;0;0;0;0;;290;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl3_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;4;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl4;0;fireplace_const;0;0;5;0;0;Elixir;100000;4;4;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;40;0;0;0;0;0;0;0;0;0;0;0;;310;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl4_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;5;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl5;0;fireplace_const;0;0;8;0;0;Elixir;250000;5;5;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;45;0;0;0;0;0;0;0;0;0;0;0;;330;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl5_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;6;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl6;0;fireplace_const;0;0;12;0;0;Elixir;750000;6;6;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;50;0;0;0;0;0;0;0;0;0;0;0;;350;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl6_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;7;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl7;0;fireplace_const;0;2;0;0;0;Elixir;1500000;9;9;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;55;0;0;0;0;0;0;0;0;0;0;0;;400;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl7_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;8;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl8;0;fireplace_const;0;3;0;0;0;Elixir;2500000;10;10;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;60;0;0;0;0;0;0;0;0;0;0;0;;500;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl7_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;9;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl9;0;fireplace_const;0;6;6;0;0;Elixir;4200000;11;11;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;65;0;0;0;0;0;0;0;0;0;0;0;;600;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl7_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
