Name;Level;TID;InfoTID;Speed;Hitpoints;UpgradeTimeH;UpgradeResource;UpgradeCost;RequiredTownHallLevel;AttackRange;AltAttackRange;AttackSpeed;CoolDownOverride;DPS;PreferedTargetDamageMod;DamageRadius;IconSWF;IconExportName;BigPicture;BigPictureSWF;SmallPicture;SmallPictureSWF;Projectile;RageProjectile;PreferedTargetBuilding;DeployEffect;AttackEffect;AttackEffectAlt;HitEffect;HitEffectActive;IsFlying;AirTargets;GroundTargets;IsJumper;AttackCount;DieEffect;Animation;ActivationTime;ActiveDuration;AbilityAttackCount;AnimationActivated;MaxSearchRadiusForDefender;HousingSpace;HealerWeight;SpecialAbilityEffect;RegenerationTimeMinutes;TrainingTime;TrainingResource;TrainingCost;CelebrateEffect;SleepOffsetX;SleepOffsetY;PatrolRadius;AbilityTriggerEffect;AbilityAffectsHero;AbilityAffectsCharacter;AbilityRadius;AbilityTime;AbilityOnce;AbilityCooldown;AbilitySpeedBoost;AbilitySpeedBoost2;AbilityDamageBoostPercent;AbilitySummonTroop;AbilitySummonTroopCount;AbilityStealth;AbilityDamageBoostOffset;AbilityHealthIncrease;AbilityShieldProjectileSpeed;AbilityShieldProjectileDamageMod;AbilityTID;AbilityDescTID;AbilityIcon;AbilityBigPictureExportName;AbilityDelay;StrengthWeight;StrengthWeight2;AlertRadius;Scale;AuraSpell;AuraSpellLevel;AuraTID;AuraDescTID;AuraBigPictureExportName;AbilitySpell;AbilitySpellLevel;RetributionSpell;RetributionSpellLevel;RetributionSpellTriggerHealth;HasAltMode;AltModeFlying;AltModeAnimation;PreferedTargetBuildingClass;NoAttackOverWalls;TargetGroups;FightWithGroups;TargetGroupsRadius;TargetGroupsRange;TargetGroupsMinWeight;SmoothJump;WakeUpSpeed;WakeUpSpace;FriendlyGroupWeight;EnemyGroupWeight;AttackEffectShared;TargetedEffectOffset;TriggersTraps;VillageType;NoDefence;PreAttackEffect;AbilityAffectsSummonedUnits;DefaultSkin;AbilityProjectile;AbilityProjectileBounces;AbilityProjectileRange;AbilityProjectileCount;UseAutoHeroAbility;NewTargetAttackDelay;AbilityDamage;Gender
String;int;String;String;int;int;int;String;int;int;int;int;int;int;int;int;int;String;String;String;String;String;String;String;String;String;String;String;String;String;String;boolean;boolean;boolean;boolean;int;String;String;int;int;int;String;int;int;int;String;int;int;String;int;String;int;int;int;String;boolean;String;int;int;boolean;int;int;int;int;String;int;boolean;int;int;int;int;String;String;String;String;int;int;int;int;int;String;int;String;String;String;String;int;String;int;int;boolean;boolean;String;String;boolean;boolean;boolean;int;int;int;boolean;int;int;int;int;String;int;boolean;int;boolean;String;boolean;String;String;int;int;int;boolean;int;int;String
Barbarian King;1;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1700;4;DarkElixir;6000;7;100;;1200;;120;1;;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;;;;Hero Deploy;;;Barbarian King Hit;;FALSE;FALSE;TRUE;FALSE;;;;;;;;900;25;21;Building Ready;10;;Elixir;;Barbarian King Scream;70;-40;300;;TRUE;;;0;TRUE;0;0;0;0;Barbarian;0;;0;0;;;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;20;10;1200;;;;;;;;;;;;;;;;;;;;;;;;;2100;2500;;-50;TRUE;0;;;TRUE;BarbarianKingDefault;;;;;TRUE;;;M
Barbarian King;2;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1742;6;DarkElixir;7000;7;100;0;1200;0;122;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;10;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;0;;0;0;0;0;Barbarian;0;;0;0;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;20;10;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;3;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1786;8;DarkElixir;8000;7;100;0;1200;0;124;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;10;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;0;;0;0;0;0;Barbarian;0;;0;0;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;20;10;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;4;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1830;10;DarkElixir;10000;7;100;0;1200;0;127;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;10;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;0;;0;0;0;0;Barbarian;0;;0;0;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;20;10;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;5;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1876;12;DarkElixir;11000;7;100;0;1200;0;129;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;12;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;10000;;0;18;9;120;Barbarian;6;;56;500;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;21;11;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;6;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1923;14;DarkElixir;12000;8;100;0;1200;0;132;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;12;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;10000;;0;18;9;120;Barbarian;6;;56;500;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;21;11;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;7;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;1971;16;DarkElixir;13000;8;100;0;1200;0;135;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;12;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;10000;;0;18;9;120;Barbarian;6;;56;500;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;21;11;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;8;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;2020;18;DarkElixir;14000;8;100;0;1200;0;137;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;12;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;10000;;0;18;9;120;Barbarian;6;;56;500;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;21;11;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
Barbarian King;9;TID_BARBARIAN_KING;TID_HERO_INSTRUCTIONS_BARBARIAN;200;2071;20;DarkElixir;15000;8;100;0;1200;0;140;1;0;sc/ui.sc;icon_hero_barbarianKing;unit_barbarianKing_big;sc/info_barbarian.sc;unit_barbarianKing_small;sc/ui.sc;0;0;0;Hero Deploy;0;0;Barbarian King Hit;0;;;;;0;0;0;0;0;0;0;900;25;21;Building Ready;12;0;Elixir;0;Barbarian King Scream;70;-40;300;0;;0;0;10000;;0;18;9;120;Barbarian;6;;56;500;0;0;TID_HERO_ABILITY_BARBARIAN_TITLE;TID_HERO_ABILITY_BARBARIAN_DESC;icon_hero_barbarianKing_ability1;unit_barbarianKing_ability_big;0;21;11;1200;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;;0;0;2100;2500;0;-50;;0;;0;;BarbarianKingDefault;0;0;0;0;;0;0;M
