Name;Level;TID;InfoTID;DisableProduction;SpellForgeLevel;LaboratoryLevel;DonateCost;HousingSpace;TrainingTime;DeployTimeMS;ChargingTimeMS;HitTimeMS;UpgradeTimeH;UpgradeResource;UpgradeCost;BoostTimeMS;SpeedBoost;SpeedBoost2;JumpHousingLimit;JumpBoostMS;DamageBoostPercent;BuildingDamageBoostPercent;Damage;TroopDamagePermil;BuildingDamagePermil;ExecuteHealthPermil;DamagePermilMin;PreferredDamagePermilMin;Radius;NumberOfHits;RandomRadius;TimeBetweenHitsMS;IconSWF;IconExportName;BigPicture;PreDeployEffect;DeployEffect;DeployEffect2Delay;DeployEffect2;ChargingEffect;HitEffect;RandomRadiusAffectsOnlyGfx;FreezeTimeMS;SpawnObstacle;NumObstacles;StrengthWeight;ProductionBuilding;TargetInfoString;PreferredTarget;PreferredTargetDamageMod;HeroDamageMultiplier;ShieldProjectileSpeed;ShieldProjectileDamageMod;ExtraHealthPermil;ExtraHealthMin;ExtraHealthMax;PoisonDPS;PoisonIncreaseSlowly;AttackSpeedBoost;BoostLinkedToPoison;PoisonAffectAir;ScaleDeployEffects;ShieldTime;ShieldProtectionPercent;MaxUnitsHit;EnemyDeployEffect;SnapToGrid;DuplicateHousing;DuplicateLifetime;SummonTroop;UnitsToSpawn;ShrinkReduceSpeedRatio;ShrinkHitpointsRatio;SpawnDuration;SpawnFirstGroupSize;DamageTHPercent;ScaleByTH;EnabledByCalendar;VillageType;PauseCombatComponentsMs;UpgradeLevelByTH;ChangeTeamTime;InvisibilityTime;FreezeOuterTimeMS;ConeAngle;FreezePercent;MinRadius;MinDamage;StunTimeMS;TornadoForce1;TornadoForce2;TornadoForce3;TornadoForce4;TornadoForce5;TornadoForceAir1;TornadoForceAir2;TornadoForceAir3;TornadoForceAir4;TornadoForceAir5;TornadoRotationSpeed;TornadoSpeedTowardsCenter;TornadoInnerRadius;TornadoInnerForcePercent;TornadoOuterForcePercent;ChainSpell;AffectsSiegeMachines;BoostDefenders;ImmunitySiegeMachines;ImmunityOtherCharacters;ImmunityTH_CC;ImmunityStorages;ImmunityWalls;ImmunityOtherBuildings;CapitalAttackCount;DestroyWalls;RecallHousing
String;int;String;String;boolean;int;int;int;int;int;int;int;int;int;String;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;String;String;String;String;String;int;String;String;String;boolean;int;String;int;int;String;String;String;int;int;int;int;int;int;int;int;boolean;int;boolean;boolean;boolean;int;int;int;String;boolean;int;int;String;int;int;int;int;int;int;boolean;boolean;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;String;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;int;boolean;int
LighningStorm;1;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;1;5;1;180;800;0;100;4;Elixir;50000;;;;;;;;150;;;;;;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;;;Lightning Spell;Lightning Spell Hit;TRUE;100;;;30;Spell Forge;TID_PREFERRED_TARGET_ANY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;;;;;
LighningStorm;2;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;1;5;1;180;800;0;100;8;Elixir;100000;0;0;0;0;0;0;0;180;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;30;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;3;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;2;5;1;180;800;0;100;12;Elixir;200000;0;0;0;0;0;0;0;210;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;30;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;4;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;3;5;1;180;800;0;100;24;Elixir;600000;0;0;0;0;0;0;0;240;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;30;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;5;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;6;5;1;180;800;0;100;96;Elixir;1500000;0;0;0;0;0;0;0;270;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;30;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;6;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;7;5;1;180;800;0;100;144;Elixir;2500000;0;0;0;0;0;0;0;320;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;27;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;7;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;8;5;1;180;800;0;100;174;Elixir;4200000;0;0;0;0;0;0;0;400;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;24;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;8;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;9;5;1;180;800;0;100;216;Elixir;7000000;0;0;0;0;0;0;0;480;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;22;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
LighningStorm;9;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;10;5;1;180;800;0;100;384;Elixir;16000000;0;0;0;0;0;0;0;560;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;20;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
